excel_row,measurer_code,pedestal_id,pedestal,status_code,success,response
166,MD161,MEP3436-MD161,MEP3436,201,True,"{""message"":""Measurer Created, Id:166""}"
167,MD162,MEP3032-MD162,MEP3032,201,True,"{""message"":""Measurer Created, Id:167""}"
168,MD163,MEP3032-MD163,MEP3032,201,True,"{""message"":""Measurer Created, Id:168""}"
169,MD164,MEP2628-MD164,MEP2628,201,True,"{""message"":""Measurer Created, Id:169""}"
170,MD165,MEP2628-MD165,MEP2628,201,True,"{""message"":""Measurer Created, Id:170""}"
171,MD166,MEP2224-MD166,MEP2224,201,True,"{""message"":""Measurer Created, Id:171""}"
172,MD167,MEP2224-MD167,MEP2224,201,True,"{""message"":""Measurer Created, Id:172""}"
173,MD168,MEP1820-MD168,MEP1820,201,True,"{""message"":""Measurer Created, Id:173""}"
174,MD169,MEP1820-MD169,MEP1820,201,True,"{""message"":""Measurer Created, Id:174""}"
175,MD170,MEP1416-MD170,MEP1416,201,True,"{""message"":""Measurer Created, Id:175""}"
176,MD171,MEP1416-MD171,MEP1416,201,True,"{""message"":""Measurer Created, Id:176""}"
177,MD172,MEP1012-MD172,MEP1012,201,True,"{""message"":""Measurer Created, Id:177""}"
178,MD173,MEP1012-MD173,MEP1012,201,True,"{""message"":""Measurer Created, Id:178""}"
179,MD174,MEP68-MD174,MEP68,201,True,"{""message"":""Measurer Created, Id:179""}"
180,MD175,MEP68-MD175,MEP68,201,True,"{""message"":""Measurer Created, Id:180""}"
181,MD176,MEP24-MD176,MEP24,201,True,"{""message"":""Measurer Created, Id:181""}"
182,MD177,MEP24-MD177,MEP24,201,True,"{""message"":""Measurer Created, Id:182""}"
183,MD178,MEP1921-MD178,MEP1921,201,True,"{""message"":""Measurer Created, Id:183""}"
184,MD179,MEP1921-MD179,MEP1921,201,True,"{""message"":""Measurer Created, Id:184""}"
185,MD351,MEP5253-MD351,MEP5253,201,True,"{""message"":""Measurer Created, Id:185""}"
186,MD352,MEP5253-MD352,MEP5253,201,True,"{""message"":""Measurer Created, Id:186""}"
187,MD180,MFP4244-MD180,MFP4244,201,True,"{""message"":""Measurer Created, Id:187""}"
188,MD181,MFP4244-MD181,MFP4244,201,True,"{""message"":""Measurer Created, Id:188""}"
189,MD182,MFP3840-MD182,MFP3840,201,True,"{""message"":""Measurer Created, Id:189""}"
190,MD183,MFP3840-MD183,MFP3840,201,True,"{""message"":""Measurer Created, Id:190""}"
191,MD184,MFP3436-MD184,MFP3436,201,True,"{""message"":""Measurer Created, Id:191""}"
192,MD185,MFP3436-MD185,MFP3436,201,True,"{""message"":""Measurer Created, Id:192""}"
193,MD186,MFP3032-MD186,MFP3032,201,True,"{""message"":""Measurer Created, Id:193""}"
194,MD187,MFP3032-MD187,MFP3032,201,True,"{""message"":""Measurer Created, Id:194""}"
195,MD188,MFP2628-MD188,MFP2628,201,True,"{""message"":""Measurer Created, Id:195""}"
196,MD189,MFP2628-MD189,MFP2628,201,True,"{""message"":""Measurer Created, Id:196""}"
197,MD190,MFP2224-MD190,MFP2224,201,True,"{""message"":""Measurer Created, Id:197""}"
198,MD191,MFP2224-MD191,MFP2224,201,True,"{""message"":""Measurer Created, Id:198""}"
199,MD192,MFP1820-MD192,MFP1820,201,True,"{""message"":""Measurer Created, Id:199""}"
200,MD193,MFP1820-MD193,MFP1820,201,True,"{""message"":""Measurer Created, Id:200""}"
201,MD194,MFP1416-MD194,MFP1416,201,True,"{""message"":""Measurer Created, Id:201""}"
202,MD195,MFP1416-MD195,MFP1416,201,True,"{""message"":""Measurer Created, Id:202""}"
203,MD196,MFP1012-MD196,MFP1012,201,True,"{""message"":""Measurer Created, Id:203""}"
